network,station_code,label,active,lon,lat,elevation,station_type
IMIS,VLS2,Alp Calasa,True,9.205241,46.674411,2064,SNOW_FLAT
IMIS,VMA2,Schwarzseen,False,9.465284,46.422000,2530,SNOW_FLAT
IMIS,VRG2,Teststation Vergeletto,False,8.475249,46.240234,2040,SNOW_FLAT
IMIS,VRG3,Porcaresc,True,8.474954,46.240399,2038,SNOW_FLAT
IMIS,VSC1,Piz San Jon Dadaint,True,10.339132,46.753260,3092,WIND
IMIS,VSC2,Trigl,True,10.352906,46.748822,2914,SNOW_FLAT
IMIS,WAS2,Teststation Rienzenstock,False,8.625968,46.684788,2390,SNOW_FLAT
IMIS,WFJ2,Weissfluhjoch,True,9.809289,46.829638,2536,SNOW_FLAT
IMIS,YBR2,Wanne,True,8.825416,47.035458,1701,SNOW_FLAT
IMIS,ZER1,Platthorn,True,7.736329,46.053659,3345,WIND
IMIS,ZER2,Triftchumme,True,7.727405,46.042177,2752,SNOW_FLAT
IMIS,ZER3,Wisshorn,False,7.734434,46.037652,2930,SNOW_FLAT
IMIS,ZER4,Stafelalp,True,7.702391,45.997989,2408,SNOW_FLAT
IMIS,ZER5,Alp Hermetje,False,7.712915,45.996327,2380,SNOW_FLAT
IMIS,ZNZ1,Sarsura Pitschen,True,9.997622,46.704252,3133,WIND
IMIS,ZNZ2,Pülschezza,True,10.018844,46.697716,2677,SNOW_FLAT
